model_name,threshold,precision,recall,f1,predicted_positive_rate,predicted_positive_customers
behavioral_only,0.49,0.5440647482014388,0.3428184281842818,0.42060877187679474,0.1724937951872235,25576
behavioral_only,0.5,0.5500417014178482,0.32495688593249566,0.4085488617004801,0.16172979389230605,23980
behavioral_only,0.51,0.5569270531616238,0.30790835181079085,0.39656676873284574,0.1513502212150642,22441
behavioral_only,0.52,0.5638886240106799,0.29137718649913774,0.3842180495094536,0.14145624258120212,20974
behavioral_only,0.53,0.5715673244044577,0.2754619364375462,0.37175821252826174,0.13193320384158844,19562
behavioral_only,0.54,0.5803040317250495,0.25957132298595714,0.35869676233275455,0.12245063127225639,18156
behavioral_only,0.55,0.5882665094339623,0.24579945799457995,0.3467245873153779,0.11438437466278191,16960
behavioral_only,0.56,0.5950183335440637,0.231879773343188,0.333711530279393,0.10668231358584224,15818
behavioral_only,0.57,0.6015401390213984,0.21746735649174673,0.31944846554719164,0.09896676378547534,14674
behavioral_only,0.58,0.6099034706359148,0.20391722099039172,0.3056442827865069,0.09152773281536636,13571
behavioral_only,0.59,0.6185123176273619,0.19113082039911308,0.29202190728925526,0.08459452897377792,12543
behavioral_only,0.6,0.6250647780272931,0.17829514658782952,0.27744977764146606,0.07808621992014676,11578
behavioral_only,0.61,0.6322043413173652,0.16646957378664695,0.263543819961777,0.07208373799503615,10688
behavioral_only,0.62,0.6391636919938807,0.15439763488543976,0.248715150312531,0.06612846660192079,9805
behavioral_only,0.63,0.6484687083888149,0.14397634885439764,0.2356356598524253,0.060780187763030104,9012
behavioral_only,0.64,0.6561173760155208,0.13330869672333087,0.2215942830231177,0.05562075105212043,8247
behavioral_only,0.65,0.660884533898305,0.12296132052229614,0.2073449378920693,0.05093341966116327,7552
behavioral_only,0.66,0.6675350991460414,0.1136240453313624,0.19419356196972568,0.04659679507931369,6909
behavioral_only,0.67,0.6740693401501837,0.10394185760039419,0.18011056799504793,0.042212959965468866,6259
behavioral_only,0.68,0.67920197740113,0.0947770386794777,0.16634237038958793,0.03820006474587245,5664
behavioral_only,0.69,0.6843558887354508,0.08546440009854644,0.1519525175759434,0.03418716952627603,5069
behavioral_only,0.7,0.6867575890893093,0.07691549642769155,0.13833746898263027,0.03065986835005935,4546
behavioral_only,0.71,0.6902677007755816,0.06797240699679724,0.12375804606723934,0.026957213769288873,3997
behavioral_only,0.72,0.6938948558507632,0.06048287755604829,0.11126722262509064,0.023861551742743067,3538
behavioral_only,0.73,0.6948876587430804,0.05257452574525745,0.097753143537711,0.020711934822488398,3071
behavioral_only,0.74,0.7017742544356361,0.04579945799457995,0.08598718749277273,0.017865814179346066,2649
behavioral_only,0.75,0.703442188879082,0.03927075634392708,0.07438865036400971,0.015282723643034422,2266
behavioral_only,0.76,0.7039917055469155,0.03345651638334565,0.06387732543098379,0.013009873745548722,1929
behavioral_only,0.77,0.7046894803548795,0.02739591032273959,0.052741415291216086,0.010642602784072515,1578
behavioral_only,0.78,0.7148318042813455,0.023035230352303523,0.044632202014415964,0.00882162512139851,1308
